uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
a44e5c4f5e9ca5374537b231b5a334bc,"Definitivamente la tecnología es parte esencial de esta nueva generación, una relación que se evidencia en la actividad que mantienen los niños y que tienen presente en sus estudios y en muchos ámbitos de su vida.",Generación Alfa llega a desplazar a Millennials y Centennials,https://www.eluniversal.com.co/viernes/generacion-alfa-llega-a-desplazar-a-millennials-y-centennials-LD6005159,eluniversal,www.eluniversal.com.co,6,15
ad10f5cb6dd6dbd376b8288631ad7ba1,"Criticábamos en la columna pasada el silencio sepulcral del Concejo Distrital frente a la noticia de la captura de su presidenta, Gloria Estrada, quien iba junto a su novio y un acompañante en una camioneta que transportaba un kilo de cocaína y un arma de fuego sin permiso vigente.",Concejo en crisis,https://www.eluniversal.com.co/opinion/columna/concejo-en-crisis-AD6014354,eluniversal,www.eluniversal.com.co,2,25
550c212d9a6e026ef46f859327ae39bc,El Consejo Gremial Nacional (CGN) le hizo una invitación a los candidatos que aspiran a llegar al Congreso y a la Presidencia de Colombia a ser más propositivos con las propuestas que les están presentando a los colombianos en los temas más importantes para la población.,Consejo gremial pide a candidatos ser más propositivos frente a temas relevantes,https://www.eluniversal.com.co/colombia/consejo-gremial-pide-a-candidatos-ser-mas-propositivos-frente-a-temas-relevantes-CI6028105,eluniversal,www.eluniversal.com.co,9,20
8e73277abd1ffea57f815493ba9cfebe,"Siempre he creído que, en el escudo nacional, deberían remplazar al majestuoso Cóndor por el silencioso y olvidadizo golero.",Memoria de golero,https://www.eluniversal.com.co/opinion/columna/memoria-de-golero-CE6017602,eluniversal,www.eluniversal.com.co,2,11
506dc7e4d15f46d5ea6173ded03e0cfc,"Rompiendo paradigmas, así ha vivido la piloto profesional colombiana Tatiana Calderón, quien sólo requirió de 5 minutos para enamorarse perdidamente de las pistas y entender que a partir de allí, su vida sería a una velocidad inusual, al menos dentro de lo que se ha contemplado para las mujeres.","Tatiana Calderón, el triunfo a toda velocidad",https://www.eluniversal.com.co/viernes/tatiana-calderon-el-triunfo-a-toda-velocidad-DD6005371,eluniversal,www.eluniversal.com.co,5,25
3742d7724fd3d482c7b52feedea9118e,"El Brigadier General Luis Carlos Hernández Aldana, comandante de la Policía Metropolitana de Barranquilla, durante la presentación del balance de los operativos realizados en la capital del Atlántico y su área metropolitana, al centro de atención se recibieron 6.751 llamadas, de las cuales 546 estaban relacionadas con riña.",Durante el fin de semana se reportaron 546 riñas en Barranquilla,https://www.eluniversal.com.co/regional/durante-el-fin-de-semana-se-reportaron-546-rinas-en-barranquilla-DB6021498,eluniversal,www.eluniversal.com.co,5,25
3df15528a2b289630e11ceafe17ae08e,"Los colombianos Camilo y J Balvin, y el mexicano Christian Nodal, con 10 nominaciones cada uno, se presentarán el próximo 24 de febrero como los máximos favoritos en la trigésimo cuarta edición de la gala de Premio Lo Nuestro, que se celebrará en Miami, informó este martes la cadena Univision.","Camilo y J Balvin, entre los más nominados en Premio Lo Nuestro 2022",https://www.eluniversal.com.co/farandula/camilo-y-j-balvin-entre-los-mas-nominados-en-premio-lo-nuestro-2022-LJ6029184,eluniversal,www.eluniversal.com.co,5,25
20e2d927ccf671c76498b1e4a727cc9f,"El gobernador de Córdoba, Orlando Benítez Mora, le solicitó formalmente a la Superintendencia Nacional de Salud que le devuelva los dos hospitales que están intervenidos en la actualidad, que son el San Jerónimo de Montería y el Sandiego de Cereté.",Gobernador pidió a la Súper que le devuelva dos hospitales intervenidos,https://www.eluniversal.com.co/regional/gobernador-pidio-a-la-super-que-le-devuelva-dos-hospitales-intervenidos-AA6020893,eluniversal,www.eluniversal.com.co,7,20
86e4c097d2e39fe0fe62f52fcd701fc4,"Las Zonas Francas se han convertido en un mecanismo para el desarrollo, que promueven la competitividad de nuestro país y en especial de nuestra ciudad y departamento por el estímulo al crecimiento económico y social.","Zonas Francas, un instrumento para la competitividad",https://www.eluniversal.com.co/opinion/columna/zonas-francas-XD6027264,eluniversal,www.eluniversal.com.co,4,15
2de3583680687c47aab8a0f663897c4a,Al parecer el famoso “aló” que daba inicio a las llamadas telefónicas pasará a ser una de esas palabras que quedan en el olvido; ¿el motivo? las nuevas generaciones dejaron de usar el audio para dedicarse a largas conversaciones a través de aplicaciones de mensajería instantánea.,El Whatsapp destronó a las llamadas telefónicas,https://www.eluniversal.com.co/viernes/el-whatsapp-destrono-a-las-llamadas-telefonicas-BI5921366,eluniversal,www.eluniversal.com.co,4,25
3aa32789f6ea1dcd5ff667e67914f1b4,"El candidato del Pacto Histórico y uno de los favoritos en las encuestas para las elecciones presidenciales de este 2022, Gustavo Petro, aseguró que en su eventual gobierno no habría cabida a las expropiaciones.",Petro dice que en su gobierno “no hay cabida a las expropiaciones”,https://www.eluniversal.com.co/politica/petro-dice-que-en-su-gobierno-no-hay-cabida-a-las-expropiaciones-DD6014216,eluniversal,www.eluniversal.com.co,5,14
69a13caf1658f56f2cd414021f59cf0d,"La Agencia Nacional de Infraestructura (ANI) confirmó que los pliegos definitivos para el macroproyecto del canal del Dique serían publicados a fin de mes; sin embargo, se espera primero la aprobación de vigencias futuras por parte del Ministerio de Hacienda.  (Lea: Pliegos definitivos de APP del canal del Dique se publicarán a final de mes)",Proyecto del Dique espera la aprobación de vigencias futuras,https://www.eluniversal.com.co/cartagena/proyecto-del-dique-espera-la-aprobacion-de-vigencias-futuras-NI6028249,eluniversal,www.eluniversal.com.co,6,31
034368b5e8cf5c81c7200154a7d84550,"La policía de Londres está investigando varias fiestas celebradas durante la cuarentena en Downing Street, la oficina y residencia oficial del primer ministro británico, según anunció el martes.",Policía de Londres investiga fiestas en oficina de Johnson,https://www.eluniversal.com.co/mundo/policia-de-londres-investiga-fiestas-en-oficina-de-johnson-DD6027775,eluniversal,www.eluniversal.com.co,6,18
4a35f7dda1755df859f6bbbf439639f6,"La discusión sobre el aborto tiene múltiples perspectivas; pero, de todas, las que más peso han tenido en el debate público son las que menos favorecen una resolución de fondo en lo judicial; esto es, las ideológicas y las religiosas.",Despenalización total del aborto,https://www.eluniversal.com.co/opinion/editorial/despenalizacion-total-del-aborto-AE6017534,eluniversal,www.eluniversal.com.co,3,15
0bd851980740c379d0a32cecc657b8fe,El miércoles en la noche alcalde William Dau volvió a cuestionar enérgicamente a los organismos de control locales y nacionales por la ausencia de resultados frente a las denuncias que su administración ha formulado contra distintos ciudadanos que han ocupado cargos en las administraciones local y regional.,El fondo y la forma,https://www.eluniversal.com.co/opinion/editorial/el-fondo-y-la-forma-XE6006624,eluniversal,www.eluniversal.com.co,2,25
d9c7cdf5cfbc69b34575285094e06d95,"“Tengo a mis tres hijos y mis dos sobrinos presos”, dice a DW Emilio Román. A un tercer sobrino, “le dieron una fianza de dos mil pesos y lo soltaron, porque las cámaras lo vieron en el grupo, pero no tirando piedras”, agrega desde el barrio periférico habanero de La Güinera. Allí vivía Diubis L.Tejeda, el único muerto que reconoce el Gobierno, por un disparo policial en choques que dejaron también varios heridos, durante las masivas protestas del 11 y 12 de julio de 2021 (11J), en más de 60 localidades de Cuba. Lea aquí: Un muerto en las protestas antigubernamentales en Cuba",Juicios por protestas: “En Cuba hay niños presos políticos”,https://www.eluniversal.com.co/suplementos/facetas/juicios-por-protestas-en-cuba-hay-ninos-presos-politicos-NH6018359,eluniversal,www.eluniversal.com.co,6,51
